,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,1.72,7.0,0.26,7.0,0.72,7.0,0.0,1.0
mRMR_MS_linear-SVM,1.71,6.0,0.26,4.0,0.71,6.0,0.0,1.0
mRMR_MS_rbf-SVM,1.71,3.0,0.26,7.0,0.71,3.0,0.0,1.0
mRMR_MS_poly-SVM,1.71,3.0,0.26,3.0,0.71,3.0,0.0,1.0
JMI-SVM,1.74,17.0,0.24,26.0,0.74,17.0,0.0,1.0
relax_mRMR-SVM,1.72,9.0,0.26,7.0,0.72,9.0,0.0,1.0
mRMR-KNN,1.27,4.0,0.65,4.0,0.27,4.0,0.0,1.0
mRMR_MS_linear-KNN,1.25,3.0,0.69,3.0,0.25,3.0,0.0,1.0
mRMR_MS_rbf-KNN,1.26,4.0,0.71,3.0,0.26,4.0,0.0,1.0
mRMR_MS_poly-KNN,1.23,4.0,0.71,3.0,0.23,4.0,0.0,1.0
JMI-KNN,1.35,17.0,0.59,17.0,0.35,17.0,0.0,1.0
relax_mRMR-KNN,1.41,7.0,0.54,7.0,0.41,7.0,0.0,1.0
